,content
384,1) App is pathetically slow 2) Crashes some times 3) Doesn't respond with single click. When you click an option multiple times it gets clicked multiple times
385,Good tension free
386,amazing app
387,Superb
388,App provides you with good stock news.This is by far the best stock investing app.Love this app. I admire their bold portfolio management.The new app UI is extremely clean offer inexpensive PMS like services
389,nice
390,bed experience
391,"Great advisory app!It was a wise investment, and I'm looking forward to putting it to use.Earlier I had issues integrating my broker but I got quick support from the team.They have such low-cost plans and a low-ticket portfolio."
392,no help to new investor s
393,"I can't select stock, you push me to buy these , give me reason why you suggest 18stocks to me"
394,good
395,Rebalancing doesn't work..
396,please send stock on watsapp at the RIGHT TIME TO INVEST.
397,Good 👍❤️
398,dineshgurjar
399,Easy & Simple for investing.
